title,link,price,location,year,mileage,type,automatisk
Kia Picanto,https://www.blocket.se/mobility/item/20294038,206300,Stockholm ∙ Hedin Automotive Akalla,2025,0,Bensin,Automatisk
Kia Picanto,https://www.blocket.se/mobility/item/20183824,206300,Stockholm ∙ Hedin Automotive Akalla,2026,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/13456041,209900,Järfälla ∙ Hedin Automotive Stäket,2024,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/13456054,216200,Järfälla ∙ Hedin Automotive Stäket,2025,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/19017559,219000,Österhaninge ∙ RN Automotive Haninge,2025,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/19075257,219000,Segeltorp ∙ Hedin Automotive Segeltorp,2025,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/20317686,219900,Österhaninge ∙ RN Automotive Haninge,2025,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/19041850,219900,Österhaninge ∙ RN Automotive Haninge,2025,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/19041911,219900,Österhaninge ∙ RN Automotive Haninge,2025,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/19040883,219900,Österhaninge ∙ RN Automotive Haninge,2025,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/20317726,219900,Österhaninge ∙ RN Automotive Haninge,2025,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/20038184,219900,Järfälla ∙ Hedin Automotive Stäket,2025,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/19270851,219900,Segeltorp ∙ Hedin Automotive Segeltorp,2025,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/19217651,219900,Järfälla ∙ Hedin Automotive Stäket,2025,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/19103790,219900,Österhaninge ∙ RN Automotive Haninge,2025,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/19103791,219900,Österhaninge ∙ RN Automotive Haninge,2025,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/19024771,219900,Österhaninge ∙ RN Automotive Haninge,2025,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/18158459,219900,Segeltorp ∙ Hedin Automotive Segeltorp,2025,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/18246398,219900,Malmö ∙ Hedin Automotive Malmö Jägersro,2025,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/13464004,219900,Stockholm ∙ Hedin Automotive Akalla,2025,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/13366790,219900,Stockholm ∙ Hedin Automotive Akalla,2025,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/13366784,219900,Stockholm ∙ Hedin Automotive Akalla,2025,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/13366785,219900,Stockholm ∙ Hedin Automotive Akalla,2025,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/13371859,219900,Stockholm ∙ Hedin Automotive Akalla,2025,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/13371854,219900,Stockholm ∙ Hedin Automotive Akalla,2025,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/13357467,219900,Malmö ∙ Hedin Automotive Malmö Jägersro,2025,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/20026975,226200,Stockholm ∙ Hedin Automotive Akalla,2025,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/20038108,226200,Järfälla ∙ Hedin Automotive Stäket,2025,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/20038002,226200,Järfälla ∙ Hedin Automotive Stäket,2025,0,Bensin,Automatisk
Dacia Sandero,https://www.blocket.se/mobility/item/13354371,226200,Stockholm ∙ Hedin Automotive Akalla,2025,0,Bensin,Automatisk
Skoda Fabia,https://www.blocket.se/mobility/item/20096618,229900,Hisings Backa ∙ Din Bil / Skoda Bäckebol - Begagnade bilar,2025,1,Bensin,Automatisk
Toyota Aygo X,https://www.blocket.se/mobility/item/20102167,229900,Åkersberga ∙ Biltrean Åkersberga Begagnade Bilar,2025,1,Bensin,Automatisk
Hyundai Bayon,https://www.blocket.se/mobility/item/20462674,235000,Malmö ∙ MMC Malmö AB,2025,2,Bensin,Automatisk
Hyundai Bayon,https://www.blocket.se/mobility/item/20321617,235000,Malmö ∙ MMC Malmö AB,2025,2,Hybrid bensin,Automatisk
Toyota Aygo X,https://www.blocket.se/mobility/item/20143760,238900,Kungens Kurva ∙ Bilia Kungens Kurva Toyota,2026,1,Hybrid bensin,Automatisk
DFSK EC35,https://www.blocket.se/mobility/item/13691787,238900,Saltsjö-Boo ∙ Dahlbacka Bil AB,2025,1,Bensin,Automatisk
DFSK EC35,https://www.blocket.se/mobility/item/13486079,238900,Kungsängen ∙ BilEnkelt,2024,1,Bensin,Automatisk
Hyundai Bayon,https://www.blocket.se/mobility/item/19993527,239900,Österhaninge ∙ RA Motor Haninge,2025,1,Bensin,Automatisk
Nissan Juke,https://www.blocket.se/mobility/item/15626754,244000,Segeltorp ∙ Bilia Segeltorp Volvo & Nissan,2024,0,Bensin,Automatisk
Skoda Fabia,https://www.blocket.se/mobility/item/18872197,245000,Nacka ∙ Bilia Nacka Skoda,2025,0,Bensin,Automatisk
Skoda Fabia,https://www.blocket.se/mobility/item/17812633,245000,Haninge ∙ Bilia Haninge Skoda,2025,0,Bensin,Automatisk
Suzuki Swift,https://www.blocket.se/mobility/item/18393399,246400,Skärholmen ∙ Torvalla bil Sätra AB - Mazda Suzuki,2025,0,Bensin,Automatisk
Suzuki Swift,https://www.blocket.se/mobility/item/15070036,246800,Haninge ∙ Torvalla Bil  Haninge AB,2025,0,Bensin,Automatisk
Dacia Sandero Stepway,https://www.blocket.se/mobility/item/18317861,246900,Stockholm ∙ Hedin Automotive Akalla,2025,0,Bensin,Automatisk
Suzuki Swift,https://www.blocket.se/mobility/item/15540476,248800,Skärholmen ∙ Torvalla bil Sätra AB - Mazda Suzuki,2025,0,Bensin,Automatisk
Seat Arona,https://www.blocket.se/mobility/item/20484171,249000,Upplands Väsby ∙ Aftén Bil CUPRA Upplands Väsby Nybil,2026,0,Bensin,Automatisk
Kia Stonic,https://www.blocket.se/mobility/item/19554514,249900,Åkersberga ∙ Aftén Bil KIA Åkersberga Nybil,2025,0,Bensin,Automatisk
Fiat 500e,https://www.blocket.se/mobility/item/19264643,249900,Arlandastad ∙ Team Autocar i Arlandastad,2023,5,El,328 km räckvidd
Dacia Sandero Stepway,https://www.blocket.se/mobility/item/20027150,249900,Stockholm ∙ Hedin Automotive Akalla,2025,0,Bensin,Automatisk
Kia Stonic,https://www.blocket.se/mobility/item/19630131,249900,Järfälla ∙ Aftén Bil KIA Barkarby Nybil,2025,0,Bensin,Automatisk
Volvo V90 Cross Country,https://www.blocket.se/mobility/item/20451165,250000,Stockholm ∙ Wayke - Test,2024,0,Bensin,Automatisk
Nissan Juke,https://www.blocket.se/mobility/item/13811484,251000,Åkersberga ∙ Team Autocar i Österåker AB,2025,0,Bensin,Automatisk
Mazda 2,https://www.blocket.se/mobility/item/14742490,253400,Malmö ∙ City Motor i Malmö AB,2025,0,Hybrid bensin,Automatisk
Mazda 2,https://www.blocket.se/mobility/item/13475926,253400,Göteborg ∙ KARMAUTO Göteborg,2025,0,Hybrid bensin,Automatisk
Toyota Yaris,https://www.blocket.se/mobility/item/18071763,254900,Kungens Kurva ∙ Bilia Kungens Kurva Toyota,2025,0,Bensin,Automatisk
